customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup
CUST00026,Female,0,No,No,45,Yes,DSL,Month-to-month,Electronic check,49.39,2203.34,Yes,25-48 Months
CUST00027,Female,0,Yes,No,41,Yes,Fiber optic,Month-to-month,Electronic check,83.33,3370.32,No,25-48 Months
CUST00028,Female,0,No,No,64,Yes,No,One year,Mailed check,34.91,2139.94,No,49-72 Months
CUST00029,Female,0,No,No,71,Yes,DSL,One year,Mailed check,59.33,4227.0,No,49-72 Months
CUST00030,Female,0,Yes,No,58,No,DSL,One year,Electronic check,48.72,2793.86,No,49-72 Months
CUST00031,Male,0,No,Yes,51,Yes,DSL,One year,Mailed check,52.79,2726.45,No,49-72 Months
CUST00032,Male,1,No,No,46,Yes,Fiber optic,Month-to-month,Electronic check,71.44,3384.62,Yes,25-48 Months
CUST00033,Female,0,No,No,6,Yes,DSL,Two year,Credit card,61.93,399.37,Yes,0-12 Months
CUST00034,Female,0,No,Yes,10,Yes,Fiber optic,One year,Electronic check,66.17,691.54,Yes,0-12 Months
CUST00035,Female,0,No,Yes,60,Yes,Fiber optic,Month-to-month,Bank transfer,77.93,4610.86,No,49-72 Months
CUST00036,Male,0,No,Yes,67,Yes,No,Month-to-month,Mailed check,54.73,3807.83,No,49-72 Months
CUST00037,Female,0,Yes,No,24,Yes,Fiber optic,Two year,Electronic check,69.21,1559.22,No,13-24 Months
CUST00038,Male,0,Yes,No,11,No,DSL,Two year,Credit card,41.56,263.72,No,0-12 Months
CUST00039,Male,0,No,Yes,25,Yes,Fiber optic,Month-to-month,Mailed check,63.02,1446.98,Yes,25-48 Months
CUST00040,Male,0,Yes,No,11,Yes,No,One year,Electronic check,33.13,488.54,No,0-12 Months
CUST00041,Male,0,Yes,Yes,42,Yes,Fiber optic,Month-to-month,Electronic check,95.73,4075.73,Yes,25-48 Months
CUST00042,Male,0,Yes,No,50,Yes,No,Month-to-month,Electronic check,38.74,2094.43,Yes,49-72 Months
CUST00043,Female,0,Yes,Yes,36,Yes,No,One year,Electronic check,30.09,924.47,No,25-48 Months
CUST00044,Female,0,No,No,45,Yes,DSL,One year,Mailed check,77.45,3763.68,No,25-48 Months
CUST00045,Female,0,No,No,52,Yes,Fiber optic,Two year,Mailed check,66.06,3401.08,No,49-72 Months
CUST00046,Female,1,Yes,No,12,No,DSL,Month-to-month,Credit card,48.63,372.32,No,0-12 Months
CUST00047,Female,0,Yes,No,53,Yes,Fiber optic,Month-to-month,Bank transfer,80.52,4531.05,Yes,49-72 Months
CUST00048,Male,0,Yes,No,56,Yes,DSL,Month-to-month,Electronic check,58.02,3091.91,Yes,49-72 Months
CUST00049,Female,0,No,No,3,No,Fiber optic,Month-to-month,Electronic check,71.46,166.63,Yes,0-12 Months
CUST00050,Female,0,No,Yes,48,Yes,No,Month-to-month,Mailed check,25.54,1201.23,No,25-48 Months
CUST00051,Male,0,Yes,Yes,6,Yes,DSL,Month-to-month,Electronic check,62.5,428.29,No,0-12 Months
CUST00052,Female,0,No,No,10,No,No,Month-to-month,Electronic check,21.49,119.94,Yes,0-12 Months
CUST00053,Male,0,No,Yes,53,Yes,DSL,Month-to-month,Credit card,53.03,2935.31,No,49-72 Months
CUST00054,Female,0,No,Yes,44,No,DSL,One year,Electronic check,60.6,2756.84,Yes,25-48 Months
CUST00055,Male,0,No,No,22,Yes,No,Month-to-month,Credit card,33.55,740.39,Yes,13-24 Months
CUST00056,Female,0,Yes,No,27,Yes,Fiber optic,Month-to-month,Electronic check,78.89,2288.95,Yes,25-48 Months
CUST00057,Female,0,No,No,56,Yes,Fiber optic,One year,Credit card,71.78,4011.54,No,49-72 Months
CUST00058,Male,0,Yes,Yes,25,Yes,DSL,Month-to-month,Bank transfer,58.69,1434.17,Yes,25-48 Months
CUST00059,Male,0,No,Yes,24,Yes,Fiber optic,One year,Bank transfer,98.68,2608.09,No,13-24 Months
CUST00060,Male,0,No,No,53,Yes,Fiber optic,Month-to-month,Electronic check,77.98,4168.43,Yes,49-72 Months
CUST00061,Male,0,No,Yes,28,No,Fiber optic,Month-to-month,Credit card,69.15,1817.92,Yes,25-48 Months
CUST00062,Male,1,No,Yes,35,Yes,Fiber optic,Month-to-month,Credit card,87.6,2963.97,No,25-48 Months
CUST00063,Male,0,Yes,No,13,Yes,No,Month-to-month,Bank transfer,33.55,438.42,Yes,13-24 Months
CUST00064,Male,0,No,No,34,Yes,Fiber optic,One year,Mailed check,76.72,2320.72,No,25-48 Months
CUST00065,Male,0,No,No,29,Yes,No,Two year,Bank transfer,38.78,1048.66,No,25-48 Months
CUST00066,Female,0,No,Yes,16,Yes,Fiber optic,Month-to-month,Electronic check,78.07,1237.07,Yes,13-24 Months
CUST00067,Female,0,Yes,Yes,66,Yes,Fiber optic,Month-to-month,Bank transfer,77.35,5085.04,No,49-72 Months
CUST00068,Male,0,Yes,No,29,Yes,DSL,One year,Credit card,67.52,1807.19,Yes,25-48 Months
CUST00069,Female,0,Yes,Yes,44,Yes,Fiber optic,Month-to-month,Mailed check,79.44,3441.54,No,25-48 Months
CUST00070,Female,0,No,No,50,Yes,No,Two year,Electronic check,44.71,2377.08,No,49-72 Months
CUST00071,Female,0,No,No,46,Yes,DSL,Month-to-month,Mailed check,59.26,2842.74,No,25-48 Months
CUST00072,Female,1,Yes,No,52,Yes,DSL,Two year,Bank transfer,49.46,2583.39,No,49-72 Months
CUST00073,Male,0,No,No,63,Yes,DSL,Month-to-month,Electronic check,32.59,2044.9,No,49-72 Months
CUST00074,Female,0,No,Yes,37,Yes,DSL,Month-to-month,Electronic check,45.29,1656.33,No,25-48 Months
CUST00075,Male,0,No,No,63,Yes,No,Two year,Electronic check,21.67,1393.57,No,49-72 Months
CUST00076,Female,1,No,No,6,Yes,No,One year,Credit card,37.13,235.09,No,0-12 Months
CUST00077,Female,0,No,No,21,Yes,Fiber optic,Month-to-month,Electronic check,72.23,1555.73,Yes,13-24 Months
CUST00078,Female,0,No,Yes,40,Yes,DSL,One year,Bank transfer,44.21,1828.62,No,25-48 Months
CUST00079,Male,1,Yes,Yes,9,Yes,Fiber optic,One year,Mailed check,78.95,565.22,No,0-12 Months
CUST00080,Female,1,No,No,56,Yes,Fiber optic,Month-to-month,Bank transfer,71.35,3958.37,Yes,49-72 Months
CUST00081,Male,0,No,No,6,No,No,One year,Credit card,23.7,165.95,No,0-12 Months
CUST00082,Female,0,No,No,49,Yes,Fiber optic,Month-to-month,Electronic check,83.51,3976.09,Yes,49-72 Months
CUST00083,Male,0,No,Yes,51,Yes,DSL,Two year,Electronic check,64.35,3200.99,No,49-72 Months
CUST00084,Female,0,No,No,32,Yes,Fiber optic,Two year,Credit card,59.53,1878.81,No,25-48 Months
CUST00085,Male,1,Yes,No,0,No,No,Month-to-month,Electronic check,20.36,0.0,Yes,
CUST00086,Male,0,Yes,No,52,Yes,Fiber optic,Month-to-month,Electronic check,79.03,4135.55,Yes,49-72 Months
CUST00087,Female,0,Yes,No,59,Yes,Fiber optic,Month-to-month,Credit card,70.23,4041.81,Yes,49-72 Months
CUST00088,Male,0,Yes,Yes,33,Yes,DSL,Month-to-month,Credit card,42.9,1531.86,No,25-48 Months
CUST00089,Female,0,No,No,3,Yes,Fiber optic,Two year,Mailed check,79.13,216.14,No,0-12 Months
CUST00090,Female,0,No,Yes,16,Yes,Fiber optic,Month-to-month,Electronic check,88.51,1433.58,Yes,13-24 Months
CUST00091,Female,0,Yes,No,3,Yes,DSL,Month-to-month,Mailed check,39.35,73.67,Yes,0-12 Months
CUST00092,Female,0,Yes,No,42,Yes,Fiber optic,Two year,Electronic check,73.34,3108.56,No,25-48 Months
CUST00093,Female,0,No,No,3,No,DSL,Two year,Bank transfer,46.05,338.7,No,0-12 Months
CUST00094,Female,0,Yes,No,0,Yes,DSL,Month-to-month,Bank transfer,69.0,0.0,No,
CUST00095,Female,0,No,Yes,70,Yes,DSL,One year,Credit card,57.5,3959.66,Yes,49-72 Months
CUST00096,Female,0,No,No,49,Yes,DSL,One year,Electronic check,75.45,3597.43,Yes,49-72 Months
CUST00097,Female,0,No,No,72,Yes,Fiber optic,Two year,Mailed check,65.64,4718.93,No,49-72 Months
CUST00098,Female,0,Yes,Yes,60,Yes,DSL,One year,Electronic check,43.86,2623.06,Yes,49-72 Months
CUST00099,Female,0,Yes,Yes,34,Yes,DSL,One year,Mailed check,68.14,2322.93,No,25-48 Months
CUST00100,Male,0,No,No,7,Yes,No,Month-to-month,Bank transfer,18.0,182.19,Yes,0-12 Months
CUST00101,Male,0,No,Yes,23,Yes,Fiber optic,Month-to-month,Electronic check,83.69,1965.93,Yes,13-24 Months
CUST00102,Female,0,Yes,No,35,Yes,Fiber optic,One year,Bank transfer,77.64,2714.7,Yes,25-48 Months
CUST00103,Female,0,No,No,49,Yes,Fiber optic,Two year,Bank transfer,72.79,3801.17,No,49-72 Months
CUST00104,Female,0,Yes,No,42,Yes,Fiber optic,Two year,Credit card,76.59,3299.66,No,25-48 Months
CUST00105,Female,0,No,Yes,26,Yes,DSL,Two year,Bank transfer,49.69,1161.23,No,25-48 Months
CUST00106,Female,1,Yes,No,31,Yes,No,Month-to-month,Credit card,32.45,820.53,No,25-48 Months
CUST00107,Female,0,No,No,17,Yes,DSL,Two year,Mailed check,60.14,938.9,No,13-24 Months
CUST00108,Female,0,Yes,Yes,27,Yes,Fiber optic,Two year,Electronic check,76.67,2088.41,No,25-48 Months
CUST00109,Female,0,Yes,No,28,Yes,Fiber optic,One year,Mailed check,75.32,2015.42,No,25-48 Months
CUST00110,Male,0,Yes,No,15,Yes,Fiber optic,Month-to-month,Mailed check,82.03,1155.13,Yes,13-24 Months
CUST00111,Female,0,Yes,No,46,Yes,Fiber optic,Month-to-month,Bank transfer,93.28,4294.01,Yes,25-48 Months
CUST00112,Male,0,No,Yes,58,Yes,Fiber optic,Two year,Bank transfer,77.87,4475.42,No,49-72 Months
CUST00113,Female,0,No,No,30,Yes,DSL,Month-to-month,Mailed check,66.56,1751.08,No,25-48 Months
CUST00114,Female,0,Yes,Yes,3,Yes,Fiber optic,Two year,Electronic check,72.27,346.07,Yes,0-12 Months
CUST00115,Male,0,Yes,Yes,36,Yes,No,Month-to-month,Electronic check,24.33,977.27,Yes,25-48 Months
CUST00116,Female,1,No,No,16,Yes,No,One year,Bank transfer,38.63,463.87,No,13-24 Months
CUST00117,Male,0,No,No,38,Yes,DSL,One year,Bank transfer,58.13,2215.77,No,25-48 Months
CUST00118,Female,1,No,Yes,47,Yes,Fiber optic,One year,Bank transfer,89.04,4050.89,No,25-48 Months
CUST00119,Female,0,Yes,Yes,45,Yes,No,Month-to-month,Mailed check,45.6,1978.94,No,25-48 Months
CUST00120,Male,0,Yes,Yes,47,Yes,Fiber optic,Two year,Electronic check,86.71,4133.71,No,25-48 Months
CUST00121,Female,1,No,Yes,38,Yes,Fiber optic,One year,Bank transfer,86.54,3385.73,Yes,25-48 Months
CUST00122,Male,0,Yes,Yes,3,Yes,No,Month-to-month,Bank transfer,18.0,148.4,Yes,0-12 Months
CUST00123,Female,0,No,Yes,29,Yes,No,One year,Mailed check,38.56,1147.62,No,25-48 Months
CUST00124,Male,0,Yes,No,29,Yes,Fiber optic,Month-to-month,Bank transfer,86.9,2673.12,Yes,25-48 Months
CUST00125,Male,0,No,No,21,Yes,Fiber optic,Month-to-month,Mailed check,69.83,1393.16,Yes,13-24 Months
CUST00126,Female,1,Yes,No,65,Yes,DSL,Month-to-month,Bank transfer,60.07,3857.91,Yes,49-72 Months
CUST00127,Female,0,No,No,11,Yes,Fiber optic,Two year,Credit card,71.66,476.9,No,0-12 Months
CUST00128,Male,0,No,Yes,35,Yes,DSL,Month-to-month,Bank transfer,68.22,2376.53,Yes,25-48 Months
CUST00129,Female,0,No,No,17,Yes,DSL,One year,Mailed check,52.35,959.51,No,13-24 Months
CUST00130,Female,0,Yes,No,52,Yes,Fiber optic,Month-to-month,Mailed check,73.66,3864.55,No,49-72 Months
CUST00131,Female,0,No,No,70,Yes,DSL,Month-to-month,Bank transfer,56.29,3865.42,No,49-72 Months
CUST00132,Male,0,No,No,0,Yes,Fiber optic,Two year,Bank transfer,98.0,101.34,Yes,
CUST00133,Male,0,No,No,57,Yes,Fiber optic,One year,Mailed check,88.04,5009.42,No,49-72 Months
CUST00134,Male,0,No,No,5,No,Fiber optic,Two year,Bank transfer,77.9,481.47,Yes,0-12 Months
CUST00135,Male,0,No,Yes,69,Yes,Fiber optic,Month-to-month,Electronic check,65.5,4577.84,Yes,49-72 Months
CUST00136,Male,1,No,No,43,Yes,No,Month-to-month,Credit card,24.85,1239.49,No,25-48 Months
CUST00137,Male,0,Yes,No,71,Yes,DSL,Two year,Credit card,70.71,5061.13,No,49-72 Months
CUST00138,Male,0,No,No,23,Yes,Fiber optic,One year,Mailed check,65.92,1589.35,No,13-24 Months
CUST00139,Male,0,No,No,18,Yes,No,Month-to-month,Mailed check,29.63,524.13,No,13-24 Months
CUST00140,Male,0,Yes,Yes,17,Yes,Fiber optic,Month-to-month,Electronic check,96.44,1579.13,No,13-24 Months
CUST00141,Female,0,Yes,No,29,Yes,Fiber optic,Two year,Electronic check,72.29,2155.3,No,25-48 Months
CUST00142,Male,0,Yes,No,41,Yes,No,Month-to-month,Electronic check,20.43,1017.96,Yes,25-48 Months
CUST00143,Female,0,No,No,32,Yes,DSL,One year,Bank transfer,60.38,1858.25,No,25-48 Months
CUST00144,Female,0,No,No,11,Yes,Fiber optic,Month-to-month,Credit card,65.76,693.58,Yes,0-12 Months
CUST00145,Female,0,No,Yes,26,Yes,Fiber optic,Month-to-month,Mailed check,89.9,2340.6,Yes,25-48 Months
CUST00146,Male,1,No,No,38,Yes,DSL,Two year,Mailed check,52.84,2090.11,No,25-48 Months
CUST00147,Male,0,Yes,No,8,Yes,No,Month-to-month,Mailed check,26.24,251.37,No,0-12 Months
CUST00148,Male,0,Yes,No,20,Yes,No,Month-to-month,Electronic check,35.24,814.37,Yes,13-24 Months
CUST00149,Male,1,Yes,No,28,Yes,No,Two year,Electronic check,31.76,1126.15,No,25-48 Months
CUST00150,Female,0,Yes,No,32,Yes,DSL,Month-to-month,Bank transfer,62.02,1907.97,No,25-48 Months
CUST00151,Male,0,Yes,No,61,Yes,DSL,Month-to-month,Credit card,64.17,3987.54,Yes,49-72 Months
CUST00152,Male,1,Yes,Yes,14,Yes,Fiber optic,One year,Mailed check,78.26,1134.12,No,13-24 Months
CUST00153,Male,0,No,No,1,Yes,DSL,Month-to-month,Bank transfer,50.71,52.99,Yes,0-12 Months
CUST00154,Male,0,No,No,51,Yes,Fiber optic,Month-to-month,Credit card,85.84,4450.57,No,49-72 Months
CUST00155,Male,0,No,No,43,Yes,Fiber optic,Month-to-month,Electronic check,74.45,3169.33,No,25-48 Months
CUST00156,Female,0,No,No,53,Yes,Fiber optic,One year,Bank transfer,73.05,3910.42,No,49-72 Months
CUST00157,Male,0,No,No,17,Yes,Fiber optic,One year,Bank transfer,81.14,1222.74,Yes,13-24 Months
CUST00158,Female,0,Yes,Yes,2,Yes,Fiber optic,One year,Bank transfer,64.57,64.48,No,0-12 Months
CUST00159,Male,1,No,No,6,No,DSL,Month-to-month,Electronic check,48.13,414.48,Yes,0-12 Months
CUST00160,Female,0,No,Yes,42,Yes,DSL,One year,Bank transfer,61.57,2707.03,Yes,25-48 Months
CUST00161,Male,0,Yes,No,37,Yes,Fiber optic,Two year,Credit card,88.97,3323.02,No,25-48 Months
CUST00162,Male,0,Yes,Yes,36,Yes,Fiber optic,Month-to-month,Electronic check,76.0,2681.63,Yes,25-48 Months
CUST00163,Female,0,No,No,57,Yes,Fiber optic,One year,Mailed check,90.6,5263.23,Yes,49-72 Months
CUST00164,Female,0,Yes,No,32,Yes,Fiber optic,One year,Electronic check,84.24,2844.06,Yes,25-48 Months
CUST00165,Female,0,No,Yes,58,Yes,No,Two year,Credit card,34.79,1968.34,No,49-72 Months
CUST00166,Male,0,No,No,10,Yes,DSL,Two year,Mailed check,74.53,570.7,No,0-12 Months
CUST00167,Female,0,Yes,No,67,Yes,DSL,Month-to-month,Credit card,60.76,4124.82,Yes,49-72 Months
CUST00168,Male,1,Yes,Yes,67,Yes,Fiber optic,Month-to-month,Mailed check,75.85,5191.6,Yes,49-72 Months
CUST00169,Male,0,Yes,No,21,Yes,Fiber optic,Month-to-month,Electronic check,80.99,1771.29,No,13-24 Months
CUST00170,Female,0,Yes,No,65,Yes,Fiber optic,Month-to-month,Electronic check,75.69,5107.66,Yes,49-72 Months
CUST00171,Female,0,Yes,No,43,Yes,No,Month-to-month,Electronic check,37.99,1821.89,No,25-48 Months
CUST00172,Male,1,No,Yes,5,Yes,Fiber optic,Two year,Electronic check,90.57,416.2,No,0-12 Months
CUST00173,Male,0,Yes,Yes,41,Yes,No,Month-to-month,Mailed check,34.94,1456.42,Yes,25-48 Months
CUST00174,Female,0,No,Yes,24,Yes,No,Month-to-month,Electronic check,35.72,797.7,Yes,13-24 Months
CUST00175,Female,0,Yes,Yes,56,No,DSL,One year,Mailed check,51.38,2754.63,No,49-72 Months
CUST00176,Female,0,No,Yes,54,Yes,Fiber optic,Month-to-month,Mailed check,89.5,4717.39,No,49-72 Months
CUST00177,Male,0,Yes,No,15,Yes,Fiber optic,Two year,Bank transfer,76.38,1231.74,No,13-24 Months
CUST00178,Male,0,Yes,No,13,Yes,DSL,Two year,Bank transfer,61.38,834.29,No,13-24 Months
CUST00179,Male,0,No,No,38,Yes,Fiber optic,Month-to-month,Bank transfer,86.42,3390.76,No,25-48 Months
CUST00180,Male,0,No,No,27,Yes,Fiber optic,Month-to-month,Credit card,82.64,2535.07,Yes,25-48 Months
CUST00181,Male,0,Yes,Yes,50,Yes,DSL,Month-to-month,Electronic check,45.1,2314.98,Yes,49-72 Months
CUST00182,Male,0,No,Yes,48,No,Fiber optic,One year,Mailed check,72.86,3402.73,No,25-48 Months
CUST00183,Female,0,Yes,No,8,Yes,Fiber optic,Month-to-month,Mailed check,84.18,797.66,Yes,0-12 Months
CUST00184,Male,0,No,Yes,57,Yes,DSL,One year,Mailed check,64.75,3593.97,No,49-72 Months
CUST00185,Male,0,Yes,No,44,Yes,Fiber optic,Two year,Bank transfer,70.46,3310.04,No,25-48 Months
CUST00186,Male,1,Yes,No,21,Yes,DSL,Month-to-month,Mailed check,61.22,1049.05,No,13-24 Months
CUST00187,Female,0,No,No,31,Yes,Fiber optic,Two year,Mailed check,86.75,2623.66,Yes,25-48 Months
CUST00188,Male,0,No,No,68,Yes,DSL,Month-to-month,Mailed check,52.96,3675.94,No,49-72 Months
CUST00189,Male,0,Yes,No,68,Yes,No,Two year,Credit card,30.04,2184.02,No,49-72 Months
CUST00190,Female,1,No,No,41,Yes,Fiber optic,Month-to-month,Credit card,86.88,3480.84,Yes,25-48 Months
CUST00191,Male,0,No,No,52,Yes,DSL,One year,Electronic check,54.66,2739.33,No,49-72 Months
CUST00192,Male,0,Yes,No,58,Yes,Fiber optic,Month-to-month,Electronic check,78.33,4560.94,No,49-72 Months
CUST00193,Male,0,No,No,38,Yes,Fiber optic,Two year,Credit card,71.72,2954.44,No,25-48 Months
CUST00194,Male,0,Yes,No,14,Yes,Fiber optic,Month-to-month,Credit card,94.56,1139.23,Yes,13-24 Months
CUST00195,Male,0,No,No,70,Yes,Fiber optic,Month-to-month,Electronic check,84.16,5853.51,Yes,49-72 Months
CUST00196,Female,1,No,No,28,Yes,Fiber optic,One year,Mailed check,77.96,2214.1,No,25-48 Months
CUST00197,Female,1,No,No,2,Yes,DSL,Month-to-month,Credit card,56.46,17.41,Yes,0-12 Months
CUST00198,Female,0,Yes,No,9,Yes,DSL,One year,Bank transfer,50.17,355.6,No,0-12 Months
CUST00199,Male,0,Yes,Yes,28,Yes,Fiber optic,Two year,Electronic check,79.12,2187.35,Yes,25-48 Months
CUST00200,Male,1,Yes,No,34,Yes,Fiber optic,Month-to-month,Bank transfer,85.32,2936.01,Yes,25-48 Months
CUST00201,Male,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Credit card,73.52,344.19,No,0-12 Months
CUST00202,Female,0,Yes,No,11,Yes,No,Month-to-month,Credit card,35.84,570.11,No,0-12 Months
CUST00203,Male,0,No,Yes,37,Yes,Fiber optic,One year,Bank transfer,77.06,2922.33,No,25-48 Months
CUST00204,Male,0,Yes,No,18,Yes,No,Month-to-month,Bank transfer,46.04,874.7,Yes,13-24 Months
CUST00205,Female,0,Yes,No,66,Yes,DSL,Month-to-month,Electronic check,54.91,3747.38,Yes,49-72 Months
CUST00206,Male,0,No,No,7,Yes,DSL,Month-to-month,Credit card,66.22,511.64,No,0-12 Months
CUST00207,Female,1,Yes,No,7,Yes,No,Month-to-month,Electronic check,46.15,269.87,Yes,0-12 Months
CUST00208,Female,1,No,No,46,Yes,Fiber optic,Two year,Credit card,76.98,3509.5,No,25-48 Months
CUST00209,Female,0,Yes,No,3,Yes,No,Month-to-month,Mailed check,30.29,0.0,Yes,0-12 Months
CUST00210,Male,0,No,No,50,Yes,DSL,One year,Credit card,67.38,3609.59,Yes,49-72 Months
CUST00211,Male,1,Yes,Yes,66,Yes,Fiber optic,Two year,Electronic check,65.75,4451.19,No,49-72 Months
CUST00212,Male,0,Yes,No,44,Yes,No,One year,Mailed check,38.44,1384.21,No,25-48 Months
CUST00213,Male,0,No,Yes,7,Yes,DSL,Month-to-month,Electronic check,47.4,491.78,Yes,0-12 Months
CUST00214,Male,1,Yes,No,15,No,No,One year,Bank transfer,29.78,270.79,No,13-24 Months
CUST00215,Male,1,No,Yes,66,Yes,Fiber optic,Two year,Credit card,77.98,5209.16,Yes,49-72 Months
CUST00216,Male,0,Yes,Yes,8,Yes,Fiber optic,Month-to-month,Bank transfer,79.27,369.68,Yes,0-12 Months
CUST00217,Female,0,Yes,Yes,59,Yes,Fiber optic,Month-to-month,Mailed check,74.21,4327.01,Yes,49-72 Months
CUST00218,Male,0,No,Yes,70,Yes,No,Month-to-month,Electronic check,22.34,1724.71,Yes,49-72 Months
CUST00219,Female,0,Yes,No,14,Yes,DSL,Month-to-month,Credit card,70.13,1149.42,No,13-24 Months
CUST00220,Male,0,No,No,70,Yes,DSL,Month-to-month,Bank transfer,58.63,4140.91,No,49-72 Months
CUST00221,Male,0,No,No,40,Yes,No,One year,Bank transfer,60.67,2521.3,No,25-48 Months
CUST00222,Male,0,No,Yes,21,Yes,Fiber optic,Month-to-month,Credit card,73.52,1374.29,No,13-24 Months
CUST00223,Female,0,No,Yes,23,No,DSL,Month-to-month,Bank transfer,39.83,980.69,No,13-24 Months
CUST00224,Female,0,Yes,Yes,43,No,Fiber optic,One year,Mailed check,57.82,2588.38,No,25-48 Months
CUST00225,Female,0,Yes,Yes,0,Yes,Fiber optic,Month-to-month,Bank transfer,78.59,308.37,Yes,
CUST00226,Female,1,Yes,No,9,Yes,Fiber optic,One year,Bank transfer,92.6,758.61,No,0-12 Months
CUST00227,Male,0,No,Yes,71,Yes,DSL,Month-to-month,Credit card,68.08,4835.64,Yes,49-72 Months
CUST00228,Female,0,No,No,55,Yes,Fiber optic,Two year,Credit card,67.96,3747.17,No,49-72 Months
CUST00229,Male,0,Yes,Yes,49,Yes,DSL,Month-to-month,Electronic check,69.63,3495.7,No,49-72 Months
CUST00230,Male,0,No,Yes,11,Yes,No,One year,Mailed check,40.46,550.72,No,0-12 Months
CUST00231,Female,0,Yes,No,59,Yes,No,Two year,Electronic check,38.85,2419.46,No,49-72 Months
CUST00232,Female,0,No,No,25,Yes,Fiber optic,Month-to-month,Electronic check,74.53,1981.81,No,25-48 Months
CUST00233,Female,0,Yes,Yes,40,Yes,DSL,Month-to-month,Bank transfer,55.12,2027.07,Yes,25-48 Months
CUST00234,Female,0,No,Yes,35,Yes,DSL,One year,Credit card,61.1,1824.92,No,25-48 Months
CUST00235,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,Electronic check,75.57,1600.81,No,13-24 Months
CUST00236,Female,0,Yes,Yes,42,Yes,Fiber optic,Two year,Mailed check,90.5,3796.75,No,25-48 Months
CUST00237,Female,1,Yes,Yes,5,Yes,Fiber optic,Two year,Credit card,75.23,302.56,No,0-12 Months
CUST00238,Female,0,Yes,No,68,Yes,Fiber optic,Month-to-month,Credit card,64.43,4326.08,No,49-72 Months
CUST00239,Male,0,Yes,No,42,Yes,Fiber optic,Month-to-month,Mailed check,69.59,2882.43,Yes,25-48 Months
CUST00240,Female,0,Yes,No,24,Yes,DSL,Month-to-month,Bank transfer,50.1,1271.69,Yes,13-24 Months
CUST00241,Female,0,No,No,17,Yes,DSL,Month-to-month,Mailed check,57.89,860.09,No,13-24 Months
